# !  MKO filter system                                                                                                                                                                                    



#   t (Gyr) =  0.001
#---------------------------------------------------------------------------------------------------------------------------

age_Gyr  M_Msun   Teff(K)   L/Ls  lg(g)   R(Gm)   D      Li            J             H            Ks        Lprime             M'          
0.002  0.4500  3460.   -0.51   3.70  10.91  0.0000  1.0000         4.185         3.484         3.244         3.020         3.090  
0.002  0.5000  3497.   -0.45   3.71  11.41  0.0000  1.0000         4.053         3.343         3.108         2.898         2.974  
0.002  0.5700  3552.   -0.37   3.71  12.15  0.0000  1.0000         3.870         3.148         2.922         2.729         2.813  
0.002  0.6000  3574.   -0.34   3.71  12.40  0.0000  1.0000         3.809         3.082         2.860         2.674         2.761  
0.002  0.6200  3588.   -0.32   3.71  12.61  0.0000  1.0000         3.760         3.030         2.810         2.628         2.717  
0.002  0.7000  3645.   -0.24   3.72  13.30  0.0000  1.0000         3.596         2.859         2.649         2.482         2.579  
0.002  0.7500  3679.   -0.20   3.73  13.66  0.0000  1.0000         3.508         2.767         2.562         2.405         2.506  
0.002  0.8000  3711.   -0.17   3.73  14.01  0.0000  1.0000         3.426         2.683         2.484         2.335         2.439  
0.002  0.8500  3745.   -0.13   3.74  14.38  0.0000  1.0000         3.342         2.599         2.405         2.263         2.371  
0.002  0.9000  3780.   -0.11   3.76  14.45  0.0000  0.9990         3.303         2.562         2.372         2.237         2.347  
0.002  0.9500  3808.   -0.06   3.74  15.09  0.0000  0.9990         3.186         2.444         2.258         2.130         2.243  
0.002  1.0000  3842.   -0.03   3.75  15.31  0.0000  0.9980         3.125         2.386         2.205         2.083         2.198  
0.002  1.0500  3873.    0.01   3.75  15.79  0.0000  0.9980         3.033         2.296         2.119         2.003         2.120  
0.002  1.1000  3910.    0.04   3.75  16.06  0.0000  0.9980         2.965         2.231         2.060         1.951         2.070  
0.002  1.1500  3998.    0.09   3.76  16.31  0.0000  0.9980         2.860         2.137         1.978         1.885         2.010  
0.002  1.2000  4048.    0.12   3.77  16.45  0.0000  0.9970         2.800         2.088         1.935         1.847         1.973  
0.002  1.3000  4136.    0.18   3.78  16.84  0.0000  0.9980         2.680         1.983         1.842         1.766         1.893  
0.002  1.4000  4211.    0.24   3.79  17.36  0.0000  0.9980         2.562         1.873         1.743         1.678         1.808  
0.003  0.0030  1241.   -4.29   3.52   1.09  1.0000  1.0000        15.664        13.940        12.453        10.669        10.365  
0.003  0.0040  1415.   -4.03   3.62   1.13  1.0000  1.0000        14.320        12.819        11.552        10.015         9.939  
0.003  0.0050  1580.   -3.80   3.68   1.18  1.0000  1.0000        12.822        11.896        10.981         9.782         9.760  
0.003  0.0060  1721.   -3.62   3.72   1.23  1.0000  1.0000        11.993        11.306        10.524         9.503         9.440  
0.003  0.0070  1842.   -3.46   3.76   1.28  1.0000  1.0000        11.380        10.787        10.123         9.167         9.267  
0.003  0.0080  1943.   -3.34   3.78   1.33  1.0000  1.0000        10.996        10.411         9.771         8.885         8.978  
0.003  0.0090  2028.   -3.23   3.79   1.39  1.0000  1.0000        10.647        10.046         9.441         8.634         8.695  
0.003  0.0100  2100.   -3.14   3.81   1.43  1.0000  1.0000        10.456         9.872         9.291         8.514         8.594  
0.003  0.0120  2207.   -2.99   3.83   1.54  1.0000  1.0000        10.037         9.510         8.975         8.262         8.353  
0.003  0.0150  2332.   -2.81   3.84   1.70  0.9950  1.0000         9.563         9.096         8.610         7.955         8.027  
0.003  0.0200  2465.   -2.58   3.84   1.96  0.9700  1.0000         9.047         8.577         8.119         7.517         7.549  
0.003  0.0300  2613.   -2.24   3.77   2.60  0.6750  1.0000         8.244         7.763         7.326         6.784         6.793  
0.003  0.0400  2749.   -1.98   3.72   3.18  0.3125  1.0000         7.636         7.140         6.735         6.237         6.231  
0.003  0.0500  2793.   -1.77   3.63   3.92  0.4780  1.0000         7.127         6.628         6.232         5.748         5.738  
0.003  0.0600  2835.   -1.69   3.66   4.16  0.0665  1.0000         6.945         6.437         6.056         5.587         5.579  
0.003  0.0700  2871.   -1.60   3.66   4.48  0.0130  1.0000         6.735         6.220         5.850         5.395         5.386  
0.003  0.0720  2878.   -1.59   3.67   4.53  0.0078  1.0000         6.702         6.186         5.818         5.366         5.358  
0.003  0.0750  2873.   -1.47   3.56   5.21  0.1605  1.0000         6.409         5.895         5.525         5.070         5.059  
0.003  0.0800  2905.   -1.54   3.68   4.70  0.0004  1.0000         6.589         6.068         5.708         5.266         5.258  
0.003  0.0900  2928.   -1.49   3.69   4.91  0.0000  1.0000         6.464         5.937         5.584         5.151         5.145  
0.003  0.1000  2925.   -1.31   3.56   6.02  0.0106  1.0000         6.027         5.500         5.146         4.713         4.705  
0.003  0.1100  3040.   -1.42   3.77   4.96  0.0000  1.0000         6.315         5.759         5.435         5.045         5.044  
0.003  0.1300  3073.   -1.34   3.79   5.31  0.0000  1.0000         6.133         5.567         5.251         4.872         4.871  
0.003  0.1500  3105.   -1.27   3.80   5.63  0.0000  1.0000         5.971         5.397         5.088         4.720         4.719  
0.003  0.1750  3136.   -1.19   3.80   6.06  0.0000  1.0000         5.780         5.196         4.893         4.538         4.542  
0.003  0.2000  3174.   -1.11   3.81   6.44  0.0000  1.0000         5.610         5.014         4.719         4.379         4.388  
0.003  0.2500  3258.   -0.98   3.82   7.12  0.0000  1.0000         5.304         4.682         4.403         4.095         4.120  
0.003  0.3000  3333.   -0.86   3.82   7.78  0.0000  1.0000         5.039         4.394         4.128         3.848         3.886  
0.003  0.3500  3392.   -0.77   3.82   8.39  0.0000  1.0000         4.821         4.159         3.902         3.643         3.692  
0.003  0.4000  3442.   -0.69   3.82   8.94  0.0000  1.0000         4.637         3.962         3.713         3.471         3.529  
0.003  0.4500  3483.   -0.62   3.83   9.44  0.0000  1.0000         4.479         3.793         3.551         3.324         3.389  
0.003  0.5000  3524.   -0.56   3.83   9.92  0.0000  1.0000         4.336         3.640         3.405         3.191         3.263  
0.003  0.5700  3575.   -0.48   3.83  10.56  0.0000  1.0000         4.157         3.451         3.224         3.026         3.106  
0.003  0.6000  3594.   -0.45   3.83  10.83  0.0000  1.0000         4.087         3.376         3.152         2.960         3.043  
0.003  0.6200  3609.   -0.43   3.84  10.96  0.0000  1.0000         4.049         3.337         3.115         2.927         3.011  
0.003  0.7000  3664.   -0.35   3.84  11.61  0.0000  0.9990         3.876         3.155         2.943         2.772         2.864  
0.003  0.7500  3695.   -0.31   3.84  11.93  0.0000  0.9970         3.790         3.065         2.859         2.696         2.792  
